episode,total_reward,final_velocity
353,0,-106.766
354,0,-106.766
355,0,-106.766
356,0,-106.766
357,0,-106.766
358,0,-106.766
359,0,-106.766
360,0,-106.766
361,0,-106.766
362,0,-106.766
363,0,-106.766
364,0,-106.766
365,0,-106.766
366,0,-106.766
367,0,-106.766
368,0,-106.766
369,0,-106.766
370,0,-106.766
371,0,-106.766
372,0,-106.766
373,0,-106.766
374,0,-106.766
375,0,-106.766
376,0,-106.766
377,0,-106.766
378,0,-106.766
379,0,-106.766
380,0,-106.766
381,0,-106.766
382,0,-106.766
383,0,-106.766
384,0,-106.766
385,0,-106.766
386,0,-106.766
387,0,-106.766
388,0,-106.766
389,0,-106.766
390,0,-106.766
391,0,-106.766
392,0,-106.766
393,0,-106.766
394,0,-106.766
395,0,-106.766
396,0,-106.766
397,0,-106.766
398,0,-106.766
399,0,-106.766
400,0,-106.766
401,0,-106.766
402,0,-106.766
403,0,-106.766
404,0,-106.766
405,0,-106.766
406,0,-106.766
407,0,-106.766
408,0,-106.766
409,0,-106.766
410,0,-106.766
411,0,-106.766
412,0,-106.766
413,0,-106.766
414,0,-106.766
415,0,-106.766
416,0,-106.766
417,0,-106.766
418,0,-106.766
419,0,-106.766
420,0,-106.766
421,0,-106.766
422,0,-106.766
423,0,-106.766
424,0,-106.766
425,0,-106.766
426,0,-106.766
427,0,-106.766
428,0,-106.766
429,0,-106.766
430,0,-106.766
431,0,-106.766
432,0,-106.766
433,0,-106.766
434,0,-106.766
435,0,-106.766
436,0,-106.766
437,0,-106.766
438,0,-106.766
439,0,-106.766
440,0,-106.766
441,0,-106.766
442,0,-106.766
443,0,-106.766
444,0,-106.766
445,0,-106.766
446,0,-106.766
447,0,-106.766
448,0,-106.766
449,0,-106.766
450,0,-106.766
451,0,-106.766
452,0,-106.766
453,0,-106.766
454,0,-106.766
455,0,-106.766
456,0,-106.766
457,0,-106.766
458,0,-106.766
459,0,-106.766
460,0,-106.766
461,0,-106.766
462,0,-106.766
463,0,-106.766
464,0,-106.766
465,0,-106.766
466,0,-106.766
467,0,-106.766
468,0,-106.766
469,0,-106.766
470,0,-106.766
471,0,-106.766
472,0,-106.766
473,0,-106.766
474,0,-106.766
475,0,-106.766
476,0,-106.766
477,0,-106.766
478,0,-106.766
479,0,-106.766
480,0,-106.766
481,0,-106.766
482,0,-106.766
483,0,-106.766
484,0,-106.766
485,0,-106.766
486,0,-106.766
487,0,-106.766
488,0,-106.766
489,0,-106.766
490,0,-106.766
491,0,-106.766
492,0,-106.766
493,0,-106.766
494,0,-106.766
495,0,-106.766
496,0,-106.766
497,0,-106.766
498,0,-106.766
499,0,-106.766
500,0,-106.766
501,0,-106.766
502,0,-106.766
503,0,-106.766
504,0,-106.766
505,0,-106.766
506,0,-106.766
507,0,-106.766
508,0,-106.766
509,0,-106.766
510,0,-106.766
511,0,-106.766
512,0,-106.766
513,0,-106.766
514,0,-106.766
515,0,-106.766
516,0,-106.766
517,0,-106.766
518,0,-106.766
519,0,-106.766
520,0,-106.766
521,0,-106.766
522,0,-106.766
523,0,-106.766
524,0,-106.766
525,0,-106.766
526,0,-106.766
527,0,-106.766
528,0,-106.766
529,0,-106.766
530,0,-106.766
531,0,-106.766
532,0,-106.766
533,0,-106.766
534,0,-106.766
535,0,-106.766
536,0,-106.766
537,0,-106.766
538,0,-106.766
539,0,-106.766
540,0,-106.766
541,0,-106.766
542,0,-106.766
543,0,-106.766
544,0,-106.766
545,0,-106.766
546,0,-106.766
547,0,-106.766
548,0,-106.766
549,0,-106.766
550,0,-106.766
551,0,-106.766
552,0,-106.766
553,0,-106.766
554,0,-106.766
555,0,-106.766
556,0,-106.766
557,0,-106.766
558,0,-106.766
